Player,Round,Rating,ACS,Kills:Death,KAST%,ADR,KPR,APR,FKPR,FDPR,HS%,KMax,K,D,A,FK,FD,Clutch_Won,Clutch_Attempted,CL%,Role,Region
Foxy9 GEN,255,0.88,179.2,0.98,71.00%,111.6,0.65,0.18,0.08,0.08,32%,21,167,170,46,20,21,7,25,28%,Sentinel,APAC
Rarga XLG,75,0.86,217,0.88,64.00%,136.1,0.76,0.16,0.2,0.25,41%,20,57,65,12,15,19,2,6,33%,Duelist,CN
benjyfishy TH,81,0.85,178.8,0.85,62.00%,119.9,0.63,0.11,0.12,0.06,30%,18,51,60,9,10,5,2,12,17%,Sentinel,EMEA
RieNs TH,81,0.85,191.5,0.84,63.00%,125,0.63,0.25,0.09,0.12,28%,17,51,61,20,7,10,0,7,0%,Initiator,EMEA
Jemkin RRQ,100,0.85,196.8,0.88,66.00%,138.2,0.69,0.14,0.21,0.16,33%,19,69,78,14,21,16,0,5,0%,Duelist,APAC
Boaster FNC,419,0.84,143.4,0.76,72.00%,94.4,0.47,0.36,0.08,0.08,25%,21,199,261,149,33,33,3,35,9%,Controller,EMEA
Knight BLG,179,0.83,149.1,0.81,69.00%,105,0.51,0.23,0.06,0.09,26%,18,92,113,42,11,16,1,15,7%,Initiator,CN
Serial TL,142,0.83,155.2,0.84,66.00%,103.1,0.57,0.16,0.09,0.07,45%,20,81,97,23,13,10,6,19,32%,Flex,EMEA
Boo TH,81,0.76,139.5,0.7,62.00%,86.7,0.48,0.43,0.02,0.1,38%,14,39,56,35,2,8,1,17,6%,Controller,EMEA
crazyguy RRQ,100,0.75,144.2,0.65,64.00%,90.7,0.47,0.34,0.11,0.14,25%,11,47,72,34,11,14,2,22,9%,Initiator,APAC
MiniBoo TH,81,0.74,167.5,0.81,60.00%,105.6,0.64,0.09,0.12,0.011,31%,19,52,64,7,10,9,0,8,0%,Duelist,EMEA
xenom MIBR,71,0.71,148.3,0.65,63.00%,101.7,0.55,0.15,0.06,0.11,35%,15,39,60,11,4,10,0,12,0%,Controller,Americas
cortezia MIBR,71,0.69,164,0.66,59.00%,115.2,0.55,0.17,0.1,0.14,33%,12,39,59,12,7,10,0,10,0%,Sentinel,Americas
Viva XLG,75,0.67,147,0.51,59.00%,107.6,0.44,0.28,0.05,0.03,27%,11,33,65,21,4,2,0,16,0%,Initiator,CN
coconut XLG,75,0.65,128.3,0.57,65.00%,92.6,0.45,0.29,0.01,0.08,26%,12,34,60,22,1,6,3,13,23%,Controller,CN
Midi XLG,75,0.59,132,0.58,61.00%,88.8,0.48,0.19,0.04,0.03,34%,14,36,62,14,3,2,0,5,0%,Initiator,CN
aspas MIBR,71,0.53,129.8,0.53,59.00%,88.8,0.44,0.17,0.07,0.21,18%,10,31,59,12,5,15,1,5,20%,Duelist,Americas
artzin MIBR,71,0.51,121.5,0.52,66.00%,86.3,0.44,0.25,0.04,0.15,26%,12,31,60,18,3,11,0,5,0%,Flex,Americas
